Price & bonus
Late delivery
Quality of cement
Quality of bags
Solidified Cement
Under Weight
Refund
Wrong delivery 
Over charged
Promotion &adversiment
Theft of cement
Distribution agreement contradiction   
Damage of  Properties
Customer service
Wrong invoiced
Cement loss due to improper fixing
Account  balance Reconciliation
Documentation
Compensation
Damage of Property
Driving under influence of alcohol
Improper seal fixing
Missing Bags
Delay on loading
